"Rank","First name","Last name","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","Total","Medal"
"11","","","C","G","N","A","C","A","N","C","G","G","",""
"1","Clemens","Pohle","?","?","?","?","?","?","?","?","?","?","49","G"
"?","Pascal","Su","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Nikola","Djokic","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Raphael","Schumacher","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Lukas","Brun","?","?","?","?","?","?","?","?","?","?","?","?"
"?","J?rg","Bachmann","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Laura","Gremion","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Cyril","Frei","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Ulrich","Brodowsky","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Hayley","Ross","?","?","?","?","?","?","?","?","?","?","?","?"
"?","Kevin","Burri","?","?","?","?","?","?","?","?","?","?","?","?"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
